last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Greene, Riley,682985,228,7,39,114.4,92.1,96.9,86.8,453,162,403,112,49.6,28,12.3,7.9
Peterson, Jace,607054,227,14.7,33.5,110.1,85.9,91,81.1,422,165,399,67,29.5,12,5.3,3.4
McLain, Matt,680574,226,13.5,38.9,109.9,89.1,94,83.9,428,182,394,94,41.6,23,10.2,6.4
Outman, James,681546,225,15.8,35.6,111.4,88,92.3,83.4,436,175,399,93,41.3,23,10.2,5.6
Andrus, Elvis,462101,225,6,31.1,109.4,87.3,89.2,86.6,407,136,384,65,28.9,5,2.2,1.7
Burleson, Alec,676475,225,11.8,36,110.6,90.2,93.9,86.6,427,166,387,91,40.4,13,5.8,4.7
Cooper, Garrett,643265,224,12.6,42.4,110.9,89.4,93.8,84,439,177,403,94,42,25,11.2,7.2
Turang, Brice,668930,223,13.4,39,106.7,86.9,91.1,83,417,170,406,65,29.1,8,3.6,2.5
Gurriel, Yuli,493329,220,17.4,35,107.9,88.6,90.9,88.9,385,168,365,78,35.5,3,1.4,1.1
Kiner-Falefa, Isiah,643396,220,7,33.2,107.3,88.4,90.5,87.1,404,141,376,80,36.4,8,3.6,2.7
Rooker, Brent,667670,219,16.3,35.2,112.6,91,94.8,86.7,462,191,405,103,47,31,14.2,8.1
DeJong, Paul,657557,219,17.3,34.7,107.6,85.3,90.7,80.6,433,169,401,74,33.8,16,7.3,4.6
Murphy, Sean,669221,217,14.1,40.1,114.7,91.9,96.8,87.2,459,188,410,101,46.8,38,17.5,10.9
Gomes, Yan,543228,216,16.1,36.1,109.7,87.1,91.4,83.4,413,175,391,74,34.3,17,7.9,5.7
Julks, Corey,667452,215,17.6,35.8,111.2,87.7,90.5,87.4,424,174,402,76,35.3,10,4.7,3.2
Walker, Jordan,691023,215,8.3,30.7,114.3,91.2,93.8,89.7,444,160,399,99,46,16,7.4,5.1
Alvarez, Francisco,682626,214,11.5,28,114.1,90.2,95.1,87.5,467,164,409,94,43.9,27,12.6,8.4
Pham, Tommy,502054,214,6.9,35.5,113.7,92.6,94.8,90.7,433,164,402,102,47.7,26,12.1,8.3
Mullins, Cedric,656775,212,22.8,26.9,110.5,89.3,92.1,89.3,418,170,381,79,37.3,13,6.1,4.2
Diaz, Yainer,673237,211,12.7,36,110.9,91,94.8,87.5,428,180,399,96,45.5,29,13.7,10.7
Bader, Harrison,664056,211,17.3,32.2,110.2,86,89.4,85.7,436,164,394,68,32.2,11,5.2,4.1
Kelenic, Jarred,672284,210,9.8,37.1,112,91.6,96,86.8,482,169,406,104,49.5,23,11,6.4
Margot, Manuel,622534,209,10,26.3,111.5,87.8,91.1,87.4,427,141,410,82,39.2,9,4.3,3.2
Kiermaier, Kevin,595281,209,7,31.1,107.8,86.7,88,87.1,407,131,393,70,33.5,8,3.8,2.7
Solano, Donovan,456781,209,12.8,44,109.8,90.8,92.8,89.3,420,177,397,91,43.5,13,6.2,4
Marsh, Brandon,669016,208,12.1,37,110.6,91.2,95,87.2,436,172,410,100,48.1,17,8.2,4.7
Joe, Connor,656582,208,16.4,38.9,111.4,89,92.8,88.5,419,173,402,87,41.8,19,9.1,5.6
Anderson, Brian,605119,206,9.5,34,110.3,87.4,93.6,83,421,155,400,75,36.4,22,10.7,6.3
Alvarez, Yordan,670541,206,17.1,34,116,92.8,96.8,87.8,452,195,404,108,52.4,36,17.5,11.1
Grossman, Robbie,543257,205,19.8,32.2,109,88.6,92.7,84.3,414,189,386,77,37.6,14,6.8,4.4
McCarthy, Jake,664983,204,6.9,30.9,108.5,85.6,90.4,82.9,412,136,405,50,24.5,5,2.5,1.7
